scenario_id,bench_id,replicate,random_seed,min_ttc_s,verdict
PED_CROSS_OPEN,HIL-A,1,835913,2.8489,pass
PED_CROSS_OPEN,HIL-A,2,577942,2.6588,pass
PED_CROSS_OPEN,HIL-A,3,550234,2.8558,pass
PED_CROSS_OPEN,HIL-B,1,502822,2.8193,pass
PED_CROSS_OPEN,HIL-B,2,361867,2.7647,pass
PED_CROSS_OPEN,HIL-B,3,948579,2.8216,pass
PED_CROSS_OPEN,HIL-C,1,76277,3.0459,pass
PED_CROSS_OPEN,HIL-C,2,572716,3.1247,pass
PED_CROSS_OPEN,HIL-C,3,609274,3.4887,pass
CYCLIST_OVERTAKE,HIL-A,1,532491,1.7923,pass
CYCLIST_OVERTAKE,HIL-A,2,641562,1.7184,pass
CYCLIST_OVERTAKE,HIL-A,3,603409,1.5278,pass
CYCLIST_OVERTAKE,HIL-B,1,821689,1.5255,pass
CYCLIST_OVERTAKE,HIL-B,2,934345,1.8207,pass
CYCLIST_OVERTAKE,HIL-B,3,291187,1.6136,pass
CYCLIST_OVERTAKE,HIL-C,1,145760,1.289,fail
CYCLIST_OVERTAKE,HIL-C,2,588158,2.0093,pass
CYCLIST_OVERTAKE,HIL-C,3,833457,1.7063,pass
MERGE_DENSE,HIL-A,1,891662,1.6295,pass
MERGE_DENSE,HIL-A,2,826805,1.6259,pass
MERGE_DENSE,HIL-A,3,915807,1.5321,pass
MERGE_DENSE,HIL-B,1,280438,1.5892,pass
MERGE_DENSE,HIL-B,2,104775,1.3122,fail
MERGE_DENSE,HIL-B,3,301684,1.4394,fail
MERGE_DENSE,HIL-C,1,834027,1.3894,fail
MERGE_DENSE,HIL-C,2,342916,1.7008,pass
MERGE_DENSE,HIL-C,3,254557,0.7459,fail
MERGE_SPARSE,HIL-A,1,268901,3.2196,pass
MERGE_SPARSE,HIL-A,2,56045,3.1157,pass
MERGE_SPARSE,HIL-A,3,344983,3.0915,pass
MERGE_SPARSE,HIL-B,1,239290,2.9567,pass
MERGE_SPARSE,HIL-B,2,524668,2.865,pass
MERGE_SPARSE,HIL-B,3,53124,2.9421,pass
MERGE_SPARSE,HIL-C,1,838633,3.4501,pass
MERGE_SPARSE,HIL-C,2,178243,3.671,pass
MERGE_SPARSE,HIL-C,3,558114,3.1291,pass
STATIONARY_OBSTACLE,HIL-A,1,927987,1.9358,pass
STATIONARY_OBSTACLE,HIL-A,2,448531,2.1793,pass
STATIONARY_OBSTACLE,HIL-A,3,321586,1.9101,pass
STATIONARY_OBSTACLE,HIL-B,1,384519,1.8705,pass
STATIONARY_OBSTACLE,HIL-B,2,538005,1.9261,pass
STATIONARY_OBSTACLE,HIL-B,3,734838,1.6646,pass
STATIONARY_OBSTACLE,HIL-C,1,569574,1.4743,fail
STATIONARY_OBSTACLE,HIL-C,2,713055,2.2037,pass
STATIONARY_OBSTACLE,HIL-C,3,73006,1.4427,fail
ONCOMING_INTRUSION,HIL-A,1,535886,1.2796,fail
ONCOMING_INTRUSION,HIL-A,2,808451,1.2717,fail
ONCOMING_INTRUSION,HIL-A,3,525337,1.2616,fail
ONCOMING_INTRUSION,HIL-B,1,491362,1.3483,fail
ONCOMING_INTRUSION,HIL-B,2,244175,1.2924,fail
ONCOMING_INTRUSION,HIL-B,3,163558,1.1111,fail
ONCOMING_INTRUSION,HIL-C,1,859095,1.6996,pass
ONCOMING_INTRUSION,HIL-C,2,962105,1.5278,pass
ONCOMING_INTRUSION,HIL-C,3,440104,1.9109,pass
ROUNDABOUT_YIELD,HIL-A,1,845922,2.7172,pass
ROUNDABOUT_YIELD,HIL-A,2,734741,2.6372,pass
ROUNDABOUT_YIELD,HIL-A,3,288189,2.8098,pass
ROUNDABOUT_YIELD,HIL-B,1,574102,2.5673,pass
ROUNDABOUT_YIELD,HIL-B,2,915751,2.3654,pass
ROUNDABOUT_YIELD,HIL-B,3,530839,2.6057,pass
ROUNDABOUT_YIELD,HIL-C,1,656780,2.3685,pass
ROUNDABOUT_YIELD,HIL-C,2,157580,2.4857,pass
ROUNDABOUT_YIELD,HIL-C,3,908607,2.5913,pass
LANE_DROP,HIL-A,1,871665,1.9658,pass
LANE_DROP,HIL-A,2,452514,2.0312,pass
LANE_DROP,HIL-A,3,919982,2.1057,pass
LANE_DROP,HIL-B,1,445629,2.0713,pass
LANE_DROP,HIL-B,2,544283,2.1093,pass
LANE_DROP,HIL-B,3,516328,2.0718,pass
LANE_DROP,HIL-C,1,886411,1.8533,pass
LANE_DROP,HIL-C,2,132642,2.4809,pass
LANE_DROP,HIL-C,3,550034,2.0831,pass
TRAFFIC_LIGHT_DILEMMA,HIL-A,1,879710,1.538,pass
TRAFFIC_LIGHT_DILEMMA,HIL-A,2,416751,1.6273,pass
TRAFFIC_LIGHT_DILEMMA,HIL-A,3,715895,1.5917,pass
TRAFFIC_LIGHT_DILEMMA,HIL-B,1,765024,1.6346,pass
TRAFFIC_LIGHT_DILEMMA,HIL-B,2,636249,1.5511,pass
TRAFFIC_LIGHT_DILEMMA,HIL-B,3,946682,1.4917,fail
TRAFFIC_LIGHT_DILEMMA,HIL-C,1,165123,2.4726,pass
TRAFFIC_LIGHT_DILEMMA,HIL-C,2,104434,1.6002,pass
TRAFFIC_LIGHT_DILEMMA,HIL-C,3,199273,1.7715,pass
DEBRIS_AVOIDANCE,HIL-A,1,93340,3.1688,pass
DEBRIS_AVOIDANCE,HIL-A,2,721258,3.0704,pass
DEBRIS_AVOIDANCE,HIL-A,3,258017,3.264,pass
DEBRIS_AVOIDANCE,HIL-B,1,309829,3.0962,pass
DEBRIS_AVOIDANCE,HIL-B,2,242596,2.9816,pass
DEBRIS_AVOIDANCE,HIL-B,3,316438,2.9926,pass
DEBRIS_AVOIDANCE,HIL-C,1,155523,3.6656,pass
DEBRIS_AVOIDANCE,HIL-C,2,351178,3.6111,pass
DEBRIS_AVOIDANCE,HIL-C,3,264052,3.3,pass
