fault_id,hazard_id,hazard_class,injection_point,expected_detection
F-SD-022,HZ-SD-04,sensor_dropout,lidar_frame_stream,True
F-AF-016,HZ-AF-04,actuation_fault,steering_angle_command,True
F-PEND-002,HZ-PEND-02,actuation_fault,brake_torque_command,True
F-PFN-022,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-PFN-004,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-SD-005,HZ-SD-05,sensor_dropout,radar_frame_stream,True
F-PT-024,HZ-PT-06,planning_timing,trajectory_publish_delay,True
F-AF-025,HZ-AF-01,actuation_fault,brake_torque_command,True
F-PT-003,HZ-PT-03,planning_timing,planner_cycle_budget,True
F-AF-006,HZ-AF-06,actuation_fault,steering_angle_command,True
F-AF-009,HZ-AF-03,actuation_fault,brake_torque_command,True
F-AF-022,HZ-AF-04,actuation_fault,steering_angle_command,True
F-AF-011,HZ-AF-05,actuation_fault,brake_torque_command,True
F-SD-011,HZ-SD-05,sensor_dropout,radar_frame_stream,True
F-SD-023,HZ-SD-05,sensor_dropout,radar_frame_stream,True
F-OOD-004,HZ-OOD-04,planning_timing,planner_cycle_budget,False
F-AF-017,HZ-AF-05,actuation_fault,brake_torque_command,True
F-PFN-012,HZ-PFN-06,perception_false_negative,fusion_output,True
F-AF-002,HZ-AF-02,actuation_fault,steering_angle_command,True
F-SD-020,HZ-SD-02,sensor_dropout,radar_frame_stream,True
F-PT-017,HZ-PT-05,planning_timing,planner_cycle_budget,True
F-SD-003,HZ-SD-03,sensor_dropout,can_bus,True
F-PT-022,HZ-PT-04,planning_timing,trajectory_publish_delay,True
F-PFN-016,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-AF-020,HZ-AF-02,actuation_fault,steering_angle_command,True
F-PT-006,HZ-PT-06,planning_timing,trajectory_publish_delay,True
F-OOD-001,HZ-OOD-01,sensor_dropout,lidar_frame_stream,False
F-PT-010,HZ-PT-04,planning_timing,trajectory_publish_delay,True
F-SD-010,HZ-SD-04,sensor_dropout,lidar_frame_stream,True
F-PT-021,HZ-PT-03,planning_timing,planner_cycle_budget,True
F-PFN-032,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-AF-004,HZ-AF-04,actuation_fault,steering_angle_command,True
F-PFN-001,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-PEND-001,HZ-PEND-01,planning_timing,planner_cycle_budget,True
F-PEND-005,HZ-PEND-05,planning_timing,planner_cycle_budget,True
F-PT-030,HZ-PT-06,planning_timing,trajectory_publish_delay,True
F-AF-015,HZ-AF-03,actuation_fault,brake_torque_command,True
F-AF-003,HZ-AF-03,actuation_fault,brake_torque_command,True
F-SD-024,HZ-SD-06,sensor_dropout,can_bus,True
F-PT-023,HZ-PT-05,planning_timing,planner_cycle_budget,True
F-PFN-017,HZ-PFN-05,perception_false_negative,radar_track_list,True
F-PFN-019,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-PFN-027,HZ-PFN-03,perception_false_negative,fusion_output,True
F-PFN-039,HZ-PFN-03,perception_false_negative,fusion_output,True
F-PFN-013,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-AF-019,HZ-AF-01,actuation_fault,brake_torque_command,True
F-PT-009,HZ-PT-03,planning_timing,planner_cycle_budget,True
F-SD-019,HZ-SD-01,sensor_dropout,lidar_frame_stream,True
F-AF-005,HZ-AF-05,actuation_fault,brake_torque_command,True
F-AF-010,HZ-AF-04,actuation_fault,steering_angle_command,True
F-PT-011,HZ-PT-05,planning_timing,planner_cycle_budget,True
F-SD-015,HZ-SD-03,sensor_dropout,can_bus,True
F-PT-014,HZ-PT-02,planning_timing,trajectory_publish_delay,True
F-PFN-037,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-AF-001,HZ-AF-01,actuation_fault,brake_torque_command,True
F-PT-002,HZ-PT-02,planning_timing,trajectory_publish_delay,True
F-PFN-031,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-AF-024,HZ-AF-06,actuation_fault,steering_angle_command,True
F-SD-007,HZ-SD-01,sensor_dropout,lidar_frame_stream,True
F-PFN-030,HZ-PFN-06,perception_false_negative,fusion_output,True
F-PFN-028,HZ-PFN-04,perception_false_negative,camera_object_list,True
F-SD-009,HZ-SD-03,sensor_dropout,can_bus,True
F-PFN-033,HZ-PFN-03,perception_false_negative,fusion_output,True
F-PT-001,HZ-PT-01,planning_timing,planner_cycle_budget,True
F-SD-001,HZ-SD-01,sensor_dropout,lidar_frame_stream,True
F-PFN-014,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-OOD-002,HZ-OOD-02,perception_false_negative,fusion_output,False
F-SD-006,HZ-SD-06,sensor_dropout,can_bus,True
F-PFN-024,HZ-PFN-06,perception_false_negative,fusion_output,True
F-AF-007,HZ-AF-01,actuation_fault,brake_torque_command,True
F-AF-021,HZ-AF-03,actuation_fault,brake_torque_command,True
F-AF-008,HZ-AF-02,actuation_fault,steering_angle_command,True
F-PFN-038,HZ-PFN-02,perception_false_negative,radar_track_list,True
F-PEND-003,HZ-PEND-03,sensor_dropout,lidar_frame_stream,True
F-PFN-025,HZ-PFN-01,perception_false_negative,camera_object_list,True
F-SD-016,HZ-SD-04,sensor_dropout,lidar_frame_stream,True
F-PT-015,HZ-PT-03,planning_timing,planner_cycle_budget,True
F-PFN-015,HZ-PFN-03,perception_false_negative,fusion_output,True
