fault_id,scenario_id,hazard_id,hazard_class,injection_point,magnitude,expected_monitor,expected_detection
US101_V0787_T1118847200000__POSITION_STEP,US101_V0787_T1118847200000,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0787_T1118847200000__SPEED_FREEZE,US101_V0787_T1118847200000,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0787_T1118847200000__LEAD_SIGNAL_LOSS,US101_V0787_T1118847200000,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0788_T1118847200000__CLOCK_STEP,US101_V0788_T1118847200000,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0788_T1118847200000__SPEED_BIAS,US101_V0788_T1118847200000,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0788_T1118847200000__POSITION_STEP,US101_V0788_T1118847200000,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0788_T1118847200000__SPEED_FREEZE,US101_V0788_T1118847200000,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0788_T1118847200000__LEAD_SIGNAL_LOSS,US101_V0788_T1118847200000,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0790_T1118847201700__CLOCK_STEP,US101_V0790_T1118847201700,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0790_T1118847201700__SPEED_BIAS,US101_V0790_T1118847201700,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0790_T1118847201700__POSITION_STEP,US101_V0790_T1118847201700,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0790_T1118847201700__SPEED_FREEZE,US101_V0790_T1118847201700,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0790_T1118847201700__LEAD_SIGNAL_LOSS,US101_V0790_T1118847201700,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0791_T1118847201700__CLOCK_STEP,US101_V0791_T1118847201700,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0791_T1118847201700__SPEED_BIAS,US101_V0791_T1118847201700,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0791_T1118847201700__POSITION_STEP,US101_V0791_T1118847201700,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0791_T1118847201700__SPEED_FREEZE,US101_V0791_T1118847201700,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0791_T1118847201700__LEAD_SIGNAL_LOSS,US101_V0791_T1118847201700,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0792_T1118847202400__CLOCK_STEP,US101_V0792_T1118847202400,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0792_T1118847202400__SPEED_BIAS,US101_V0792_T1118847202400,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0792_T1118847202400__POSITION_STEP,US101_V0792_T1118847202400,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0792_T1118847202400__SPEED_FREEZE,US101_V0792_T1118847202400,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0792_T1118847202400__LEAD_SIGNAL_LOSS,US101_V0792_T1118847202400,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0793_T1118847203000__CLOCK_STEP,US101_V0793_T1118847203000,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0793_T1118847203000__SPEED_BIAS,US101_V0793_T1118847203000,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0793_T1118847203000__POSITION_STEP,US101_V0793_T1118847203000,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0793_T1118847203000__SPEED_FREEZE,US101_V0793_T1118847203000,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0793_T1118847203000__LEAD_SIGNAL_LOSS,US101_V0793_T1118847203000,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0796_T1118847203600__CLOCK_STEP,US101_V0796_T1118847203600,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0796_T1118847203600__SPEED_BIAS,US101_V0796_T1118847203600,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0796_T1118847203600__POSITION_STEP,US101_V0796_T1118847203600,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0796_T1118847203600__SPEED_FREEZE,US101_V0796_T1118847203600,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0796_T1118847203600__LEAD_SIGNAL_LOSS,US101_V0796_T1118847203600,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0798_T1118847204700__CLOCK_STEP,US101_V0798_T1118847204700,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0798_T1118847204700__SPEED_BIAS,US101_V0798_T1118847204700,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0798_T1118847204700__POSITION_STEP,US101_V0798_T1118847204700,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0798_T1118847204700__SPEED_FREEZE,US101_V0798_T1118847204700,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0798_T1118847204700__LEAD_SIGNAL_LOSS,US101_V0798_T1118847204700,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0799_T1118847202800__CLOCK_STEP,US101_V0799_T1118847202800,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0799_T1118847202800__SPEED_BIAS,US101_V0799_T1118847202800,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0799_T1118847202800__POSITION_STEP,US101_V0799_T1118847202800,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0799_T1118847202800__SPEED_FREEZE,US101_V0799_T1118847202800,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0799_T1118847202800__LEAD_SIGNAL_LOSS,US101_V0799_T1118847202800,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0800_T1118847203500__CLOCK_STEP,US101_V0800_T1118847203500,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0800_T1118847203500__SPEED_BIAS,US101_V0800_T1118847203500,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0800_T1118847203500__POSITION_STEP,US101_V0800_T1118847203500,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0800_T1118847203500__SPEED_FREEZE,US101_V0800_T1118847203500,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0800_T1118847203500__LEAD_SIGNAL_LOSS,US101_V0800_T1118847203500,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0801_T1118847204800__CLOCK_STEP,US101_V0801_T1118847204800,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0801_T1118847204800__SPEED_BIAS,US101_V0801_T1118847204800,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0801_T1118847204800__POSITION_STEP,US101_V0801_T1118847204800,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0801_T1118847204800__SPEED_FREEZE,US101_V0801_T1118847204800,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0801_T1118847204800__LEAD_SIGNAL_LOSS,US101_V0801_T1118847204800,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0806_T1118847204200__CLOCK_STEP,US101_V0806_T1118847204200,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0806_T1118847204200__SPEED_BIAS,US101_V0806_T1118847204200,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0806_T1118847204200__POSITION_STEP,US101_V0806_T1118847204200,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0806_T1118847204200__SPEED_FREEZE,US101_V0806_T1118847204200,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0806_T1118847204200__LEAD_SIGNAL_LOSS,US101_V0806_T1118847204200,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0808_T1118847203600__CLOCK_STEP,US101_V0808_T1118847203600,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0808_T1118847203600__SPEED_BIAS,US101_V0808_T1118847203600,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0808_T1118847203600__POSITION_STEP,US101_V0808_T1118847203600,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0808_T1118847203600__SPEED_FREEZE,US101_V0808_T1118847203600,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0808_T1118847203600__LEAD_SIGNAL_LOSS,US101_V0808_T1118847203600,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0809_T1118847200000__CLOCK_STEP,US101_V0809_T1118847200000,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0809_T1118847200000__SPEED_BIAS,US101_V0809_T1118847200000,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0809_T1118847200000__POSITION_STEP,US101_V0809_T1118847200000,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0809_T1118847200000__SPEED_FREEZE,US101_V0809_T1118847200000,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0809_T1118847200000__LEAD_SIGNAL_LOSS,US101_V0809_T1118847200000,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0810_T1118847204100__CLOCK_STEP,US101_V0810_T1118847204100,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0810_T1118847204100__SPEED_BIAS,US101_V0810_T1118847204100,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0810_T1118847204100__POSITION_STEP,US101_V0810_T1118847204100,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0810_T1118847204100__SPEED_FREEZE,US101_V0810_T1118847204100,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0810_T1118847204100__LEAD_SIGNAL_LOSS,US101_V0810_T1118847204100,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0811_T1118847205400__CLOCK_STEP,US101_V0811_T1118847205400,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0811_T1118847205400__SPEED_BIAS,US101_V0811_T1118847205400,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0811_T1118847205400__POSITION_STEP,US101_V0811_T1118847205400,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0811_T1118847205400__SPEED_FREEZE,US101_V0811_T1118847205400,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0811_T1118847205400__LEAD_SIGNAL_LOSS,US101_V0811_T1118847205400,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0812_T1118847204800__CLOCK_STEP,US101_V0812_T1118847204800,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0812_T1118847204800__SPEED_BIAS,US101_V0812_T1118847204800,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0812_T1118847204800__POSITION_STEP,US101_V0812_T1118847204800,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0812_T1118847204800__SPEED_FREEZE,US101_V0812_T1118847204800,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0812_T1118847204800__LEAD_SIGNAL_LOSS,US101_V0812_T1118847204800,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
US101_V0813_T1118847205400__CLOCK_STEP,US101_V0813_T1118847205400,H-TIME-INTEGRITY,CLOCK_STEP,global_time,+300 ms step after midpoint,cadence_gap,True
US101_V0813_T1118847205400__SPEED_BIAS,US101_V0813_T1118847205400,H-SPEED-INTEGRITY,SPEED_BIAS,v_vel,+10 ft/s persistent bias,speed_disagreement,True
US101_V0813_T1118847205400__POSITION_STEP,US101_V0813_T1118847205400,H-POSITION-INTEGRITY,POSITION_STEP,local_y,+12 ft step after midpoint,position_innovation,True
US101_V0813_T1118847205400__SPEED_FREEZE,US101_V0813_T1118847205400,H-SPEED-FREEZE,SPEED_FREEZE,v_vel,2.0 s held value,speed_freeze,True
US101_V0813_T1118847205400__LEAD_SIGNAL_LOSS,US101_V0813_T1118847205400,H-ASSOCIATION-LOSS,LEAD_SIGNAL_LOSS,preceding/space_headway/time_headway,1.0 s interior dropout,lead_signal_loss,True
